stock	accuracy
2501	0.380000
5469	0.477273
6191	0.568182
3094	0.725490
1704	0.311538
2014	0.496154
1721	0.688462
3049	0.372549
1786	0.230769
2516	0.860000
6281	1.000000
1472	0.739837
1325	0.834061
2605	0.520000
6405	0.511111
2108	0.453846
9933	0.340909
3380	0.367347
4977	0.136364
3037	0.500000
3032	0.360000
1762	0.623077
6282	0.522727
2538	0.540000
1904	0.815385
3321	1.000000
4190	0.250000
6184	0.704545
3607	0.454545
2881	0.448980
1718	0.550000
2603	0.520000
6289	0.754717
5515	0.688889
4912	0.450980
3588	0.222222
8046	0.522727
8454	0.020833
2515	0.673469
6183	1.000000
3059	0.387755
1323	0.380769
1504	0.657692
2426	0.448980
2489	0.480000
6251	0.466667
2892	0.400000
1906	0.588462
1609	0.789883
1423	0.746835
3006	0.306122
1730	0.534615
6153	0.488372
1907	0.576923
2884	0.460000
4906	0.386364
2395	0.080000
1217	0.792308
2434	0.755102
2855	0.714286
2852	0.576923
1319	0.300000
3035	0.480000
1712	0.788462
2468	1.000000
3443	0.120000
6112	0.909091
6133	0.627907
2377	0.122449
2498	0.320000
2608	0.340000
2382	0.440000
2038	0.660079
2415	0.612245
2314	0.376923
2505	0.961538
3231	0.551020
2882	0.285714
8112	0.522727
2903	0.740000
1583	0.602941
9924	0.409091
4725	0.348837
5234	0.468085
8404	0.500000
1538	0.653846
2704	0.730769
2228	0.134615
2424	-1.000000
2812	0.725490
3051	0.568627
2379	0.220000
3011	0.734694
6525	0.391304
2816	0.720000
1440	0.676923
4942	0.408163
1409	0.726923
2542	0.448980
4545	0.136364
9928	-1.000000
1235	0.500000
1210	0.538462
1727	0.984496
2204	0.430769
6415	0.068182
2442	0.596154
3044	0.714286
2484	0.540000
1326	0.280769
2890	0.740000
2905	0.408163
1110	0.755556
3519	0.590909
1513	0.625483
4414	0.840909
2313	0.592308
2524	0.769231
2208	0.742308
3661	0.477273
1514	0.756757
3189	0.320000
6285	0.318182
2404	0.480000
1537	0.138462
2308	0.196154
1789	0.496154
3130	0.160714
1308	0.509653
2911	0.686275
3706	0.279070
2488	0.380000
6451	0.069767
2371	0.367347
8201	0.784314
3703	0.804348
2206	0.652510
2493	0.571429
1528	0.757692
1598	0.223077
6152	0.409091
6192	0.272727
2466	0.770492
2548	0.260000
2613	0.765625
3383	0.698113
2317	0.342308
2836	0.803922
9908	0.608696
8271	0.386364
1455	0.480769
5225	0.288889
4952	0.489362
1465	0.807377
1701	0.819231
2325	0.469231
9944	0.608696
2401	0.591837
1227	0.434615
6230	0.068182
1702	0.396154
3017	0.612245
2368	0.620000
2239	0.048387
3617	0.177778
2547	0.740000
1603	0.403846
4106	0.521739
2611	0.940000
1474	0.584615
2355	0.273077
3022	0.591837
